1,80,,,1,4.8,,,1,1.7,,,1,526.6961632,
2,162,149.3333333,,2,4.4,4.066666667,,2,3.142857143,3.003174603,,2,139.1290083,369.3960005
3,206,213,,3,3,3.366666667,,3,4.166666667,4.055555556,,3,442.3628299,233.8493892
4,271,255.3333333,,4,2.7,2.633333333,,4,4.857142857,8.007936508,,4,120.0563295,245.2190079
5,289,291.6666667,,5,2.2,2.433333333,,5,15,10.28571429,,5,173.2378644,143.388077
6,315,311.3333333,,6,2.4,2.166666667,,6,11,19.33333333,,6,136.8700373,133.082601
7,330,288.3333333,,7,1.9,1.645454545,,7,32,14.88888889,,7,89.13990138,104.6087335
8,220,233.3333333,,8,0.636363636,1.100356506,,8,1.666666667,11.63247863,,8,87.81626183,83.69298227
9,150,164.6666667,,9,0.764705882,0.660005629,,9,1.230769231,1.299145299,,9,74.1227836,70.38737006
10,124,128,,10,0.578947368,0.569096538,,10,1,1.076923077,,10,49.22306474,58.96941558
11,110,109.6666667,,11,0.363636364,0.430136606,,11,1,1,,11,53.56239842,53.64052972
12,95,96,,12,0.347826087,0.370487484,,12,1,1,,12,58.136126,58.29778595
13,83,83,,13,0.4,0.382608696,,13,1,1,,13,63.19483344,46.15995788
14,71,68.66666667,,14,0.4,0.312121212,,14,1,1,,14,17.1489142,30.27127532
15,52,50.66666667,,15,0.136363636,0.205454545,,15,1,1,,15,10.47007831,18.26563438
16,29,31.66666667,,16,0.08,0.142296651,,16,1,1,,16,27.17791063,16.42350113
17,14,14.33333333,,17,0.210526316,0.138508772,,17,1,1,,17,11.62251444,23.04127883
18,0,4.666666667,,18,0.125,0.445175439,,18,#DIV/0!,1,,18,30.32341141,15.7959453
19,0,0,,19,1,0.708333333,,19,1,1,,19,5.441910038,11.92177382
20,0,,,20,1,,,20,1,,,20,0,
