1,125,,,1,1.92,,,1,#DIV/0!,,,1,526.6961632,
2,237,223.3333333,,2,2,1.832982456,,2,#DIV/0!,#DIV/0!,,2,139.1290083,369.3960005
3,308,314,,3,1.578947368,1.755482456,,3,#DIV/0!,28.5,,3,442.3628299,233.8493892
4,397,372.3333333,,4,1.6875,1.474780702,,4,28.5,43.25,,4,120.0563295,245.2190079
5,412,416.3333333,,5,1.157894737,1.348464912,,5,58,49.5,,5,173.2378644,143.388077
6,440,434.6666667,,6,1.2,1.119298246,,6,62,60,,6,136.8700373,133.082601
7,452,453.3333333,,7,1,1.025,,7,#DIV/0!,64.5,,7,89.13990138,104.6087335
8,468,466.3333333,,8,0.875,0.93452381,,8,67,67,,8,87.81626183,83.69298227
9,479,467.3333333,,9,0.928571429,0.816876751,,9,#DIV/0!,38.64285714,,9,74.1227836,70.38737006
10,455,428,,10,0.647058824,0.641152113,,10,10.28571429,7.113445378,,10,49.22306474,58.96941558
11,350,359.3333333,,11,0.347826087,0.471979181,,11,3.941176471,5.888130252,,11,53.56239842,53.64052972
12,273,287,,12,0.421052632,0.461421111,,12,3.4375,3.92622549,,12,58.136126,58.29778595
13,238,238,,13,0.615384615,0.550607287,,13,4.4,3.9125,,13,63.19483344,46.15995788
14,203,198.3333333,,14,0.615384615,0.51025641,,14,3.9,4.016666667,,14,17.1489142,30.27127532
15,154,149.3333333,,15,0.3,0.365734266,,15,3.75,3.316666667,,15,10.47007831,18.26563438
16,91,98,,16,0.181818182,0.293939394,,16,2.3,2.641666667,,16,27.17791063,16.42350113
17,49,46.66666667,,17,0.4,0.268013468,,17,1.875,1.725,,17,11.62251444,23.04127883
18,0,16.33333333,,18,0.222222222,0.540740741,,18,1,1.291666667,,18,30.32341141,15.7959453
19,0,0,,19,1,0.740740741,,19,1,1,,19,5.441910038,11.92177382
20,0,,,20,1,,,20,1,,,20,0,
