1,101,,,1,3.692307692,,,1,2.833333333,,,1,526.6961632,
2,197,180.3333333,,2,3.142857143,2.992673993,,2,6.5,5.244444444,,2,139.1290083,369.3960005
3,243,248,,3,2.142857143,2.404761905,,3,6.4,6.3,,3,442.3628299,233.8493892
4,304,270.6666667,,4,1.928571429,1.743107769,,4,6,5.4,,4,120.0563295,245.2190079
5,265,270.6666667,,5,1.157894737,1.528822055,,5,3.8,4.366666667,,5,173.2378644,143.388077
6,243,240,,6,1.5,1.338345865,,6,3.3,3.408333333,,6,136.8700373,133.082601
7,212,217.6666667,,7,1.357142857,1.244047619,,7,3.125,3.308333333,,7,89.13990138,104.6087335
8,198,196.3333333,,8,0.875,1.053571429,,8,3.5,3.341666667,,8,87.81626183,83.69298227
9,179,174.6666667,,9,0.928571429,0.883241758,,9,3.4,2.892592593,,9,74.1227836,70.38737006
10,147,153.6666667,,10,0.846153846,0.782051282,,10,1.777777778,2.725925926,,10,49.22306474,58.96941558
11,135,129,,11,0.571428571,0.663003663,,11,3,2,,11,53.56239842,53.64052972
12,105,110,,12,0.571428571,0.537815126,,12,1.222222222,1.796296296,,12,58.136126,58.29778595
13,90,89.33333333,,13,0.470588235,0.487689813,,13,1.166666667,1.12962963,,13,63.19483344,46.15995788
14,73,72.33333333,,14,0.421052632,0.342668168,,14,1,1.055555556,,14,17.1489142,30.27127532
15,54,52.66666667,,15,0.136363636,0.212472089,,15,1,1,,15,10.47007831,18.26563438
16,31,33.66666667,,16,0.08,0.142296651,,16,1,1,,16,27.17791063,16.42350113
17,16,15.66666667,,17,0.210526316,0.133879142,,17,1,1,,17,11.62251444,23.04127883
18,0,5.333333333,,18,0.111111111,0.440545809,,18,#DIV/0!,1,,18,30.32341141,15.7959453
19,0,0,,19,1,0.703703704,,19,1,1,,19,5.441910038,11.92177382
20,0,,,20,1,,,20,1,,,20,0,
